MUTTER,"Frau mit Kindern"
ANTARKTIS,"Südliche Eiskontinental"
LAGUNE,"Flaches Küstengewässer"
LAGUNEN,"Mehrere flache Küstengewässer"
RIFF,"Unterwassergesteinsformation"
KONTINENTAL,"Große zusammenhängende Landmasse"
ASIA,"Größter Erdteil"
EUROPA,"Erdteil mit vielen Kulturen"
AFRIKA,"Erdteil südlich von Europa"
AUSTRALIEN,"Südlicher Inselkontinent"
NORDAMERIKA,"Nordteil des amerikanischen Kontinents"
SUEDAMERIKA,"Südteil des amerikanischen Kontinents"
ANTARKTIKA,"Südlichster Kontinent"
OZEANOS,"Weltmeere zusammengefasst"
POLAR,"Zu den Eiszonen gehörig"
AQUATOR,"Linie der Erdteilung"
WENDEKREIS,"Breitenkreis der Erde"
MERIDIAN,"Längengradlinie der Erde"
BREITENGRAD,"Geografische Positionsangabe"
LAENGENGRAD,"Geografische Ostwestposition"
TROPEN,"Heißer Erdgürtel"
SUBTROPEN,"Warm gemäßigte Zone"
GEMÄESSIGT,"Weder heiß noch kalt"
MARITIM,"Vom Meer beeinflusst"
MONSUN,"Periodischer Windwechsel"
PASSAT,"Beständiger Windstrom"
ZYKLON,"Tropischer Wirbelwind"
TSUNAMI,"Meeresbebenwelle"
FOEHN,"Warmer trockener Fallwind"
BERGSTURZ,"Abstürzende Felsmassen"
LAWINE,"Abrutschende Schneemasse"
EROSION,"Bodenabtragende Wirkung"
KARSTGEBIET,"Felsgepraegtes Landgebiet"
STEILKUESTE,"Hoher Uferbereich"
MORAENENLANDSCHAFT,"Von Eiszeitablagerungen geprägt"
FJORDKUESTE,"Norwegische gezackte Küste"
SANDSTUERM,"Wuestenwind mit Sandbewegung"
SCHNEEFELD,"Groß auftretende zusammenhängende Schneefläche"
SCHEELAGER,"Dauerhaft gefrorene Gebiete"
PERMAFROST,"Dauerhaft gefrorenes Unterland"
GEYSIR,"Heiße Springquelle"
VULKAN,"Berg mit Lavaausbruck"
KRATER,"Vertiefung eines Vulkans"
MAGMA,"Flüssiges Gestein unter der Erde"
LAVA,"Flüssiges Gestein über der Erde"
ERDBEBEN,"Plötzliche Bodenbewegung"
EPIZENTRUM,"Zentrum eines Erdbebens"
VERWERFUNG,"Tektonische Gesteinsvecchiebung"
PLATTE,"Tektonische Erdschalenelement"
KOLLISION,"Zusammenprall von Erdplattten"
SUBDUKTION,"Eintauchen einer Erdplatte"
SPREADING,"Auseinanderbewegung von Platten"
HOTSPOT,"Vulkanischer Aktivitätsbereich"
CALDERA,"Großer Vulkankesssel"
EMAIL,"Elektronische Post"
CHAT,"Live Textkommunikation"
NETZ,"Internet Verbindung"
APP,"Handy Anwendung"
LINK,"Web Verweis"
MODEM,"Daten Uebertraeger"
SERVER,"Rechner Zentrale"
BLOG,"Online Tagebuch"
ICON,"Symbol Bildchen"
TASTATUR,"Eingabe Geraet"
MONITOR,"Bildschirm Anzeige"
BROWSER,"Web Navigator"
PIXEL,"Bild Punkt"
DATEI,"Digital Inhalt"
SPEICHER,"Daten Lager"
BACKUP,"Sicherungs Kopie"
VIRUS,"Schaedliche Software"
KLICK,"Maus Aktion"
ZOOM,"Vergrossern Funktion"
PODCAST,"Audio Serie"
STREAMING,"Daten Fluss"
ROUTER,"Netzwerk Verteiler"
PASSWORT,"Zugangscode Geheim"
DOWNLOAD,"Daten Erwerben"
UPLOAD,"Daten Senden"
KABEL,"Verbindungs Leitung"
SLOT,"Steck Platz"
BYTE,"Daten Einheit"
GIGABYTE,"Grosser Speicher"
SCREENSHOT,"Bildschirm Erfassung"
TOUCHSCREEN,"Beruehr Bildschirm"
HARDWARE,"Physische Teile"
SOFTWARE,"Programm System"
CURSOR,"Zeiger Position"
FENSTER,"Bildschirm Bereich"
DATENSCHUTZ,"Privat Schutz"
FIREWALL,"Sicherheits Mauer"
ANTIVIRUS,"Schutzmittel Software"
VERSCHLUESSELUNG,"Geheim Kodierung"
AUTHENTIFIZIERUNG,"Echt Bestaetigung"
SYNCHRONISIERUNG,"Zeit Angleichung"
CLOUD,"Internet Speicher"
DATENBANK,"Informationen Sammlung"
ALGORITHMUS,"Loesung Methode"
PROGRAMMIERUNG,"Code Erstellung"
INTERFACE,"Verbindungs Flaeche"
LAENDLICH,"Land Gegend"
ANALOG,"Nicht Digital"
DIGITAL,"Elektronisch Numerisch"
KOMPATIBILITAET,"Zusammen Passung"
INSTALLATION,"Auf Anbringung"
AENDERUNG,"Neu Fassung"
FEHLER,"Programm Fehltritt"
DEBUGGING,"Fehler Beseitigung"
KOMPRIMIERUNG,"Staerker Dichtung"
DEKOMPRIMIERUNG,"Aus Wicklung"
SCHNITTSTELLE,"Verbindungs Punkt"
BANDBREITE,"Uebertragungs Raum"
LATENZ,"Verzoegerungs Zeit"
PUFFERUNG,"Zwischen Speicher"
CACHE,"Schnell Speicher"
COOKIE,"Seiten Merkzettel"
TOKEN,"Zugriffsrecht Beweis"
SESSION,"Sitzungs Zeitraum"
GATEWAY,"Ein Ausgangstor"
PROTOKOLL,"Uebertragungs Regel"
ETHERNET,"Kabel Netzwerk"
WLAN,"Drahtlos Verbindung"
BLUETOOTH,"Kurz Funkverbindung"
FREQUENZ,"Schwingung Schnelle"
BANDWIDTH,"Signal Breite"
JITTER,"Verzoegerung Schwankung"
PAKET,"Daten Buendel"
PING,"Echo Test"
TRACEROUTE,"Weg Verfolgung"
PROXY,"Vertreter Server"
VPNETZ,"Privat Tunnel"
SMTP,"Post Protokoll"
FTP,"Datei Uebertragun"
HTTP,"Web Standard"
HTTPS,"Sicheres Web"
DNS,"Namen System"
HOSTING,"Server Vermietung"
DOMAIN,"Internet Adressname"
SUBDOMAIN,"Unter Adressname"
SITEMAP,"Seiten Ueberblick"
METATAG,"Beschreibungs Etikett"
JAVASCRIPT,"Skripting Sprache"
PYTHON,"Programmier Sprache"
PLUGIN,"Zusatz Modul"
ADDON,"Erweiterungs Paket"
EXTENSION,"Zusatz Merkmal"
THEME,"Design Vorlage"
TEMPLATE,"Muster Vorgabe"
FRAMEWORK,"Grund Gerust"
LIBRARY,"Code Sammlung"
REPOSITORY,"Speicher Ort"
ABFALL,"Müll zum Trennen"
ABGAS,"Verschmutzung aus Auto"
ACKER,"Landwirtschaftsfläche pflügen"
AMPHIBIE,"Tier zwischen Wasser Land"
ANPASSUNG,"Entwicklung neuer Fähigkeiten"
ANTRIEB,"Motor für Fahrzeuge"
ARTENSTERBEN,"Biologische Vielfalt verlieren"
ATMOSPHAERE,"Luftschicht um Erde"
AUSSTOSS,"Emissions Menge produzieren"
BAUM,"Holzlieferant mit Blättern"
BEGRUENDING,"Grüne Flächen schaffen"
BEHAELTER,"Behaeltnis fuer Abfall"
BEIWAGEN,"Umweltfreundliche Fahrrad Erweiterung"
BELASTUNG,"Druck auf Ökosystem"
BENZIN,"Kraftstoff zum Fahren"
BEOBACHTUNG,"Naturschutz durch Achtsamkeit"
BERUECKSICHTIGUNG,"Denken an Konsequenzen"
BESTANDTEILE,"Komponenten Zusammensetzung zeigen"
BESTAETTIGUNG,"Zertifikat fuer Qualität"
BESTAEUBER,"Insekt fuer Pflanzenfortpflanzung"
BESTEUERUNG,"Finanzielle Lenkung Verhalten"
BESTRAHLUNG,"Licht Energie Quelle"
BEWAELTIGUNG,"Loesungsfindung Problem"
BEWAESSERN,"Pflanzen mit Wasser versorgen"
BEWAESSERUNGSSYSTEM,"Aufbau fuer Gartenbewässerung"
BIENENHOTEL,"Natur Unterkunft Insekt"
BIENENSTOCK,"Zuhause fuer Honigproduzenten"
BIOGAS,"Energie aus organischen Stoffen"
BIOKRAFTSTOFF,"Treibstoff aus Pflanzen"
BIODIESEL,"Alternative zu Mineraloel"
BIOLOGIE,"Wissenschaft vom Leben"
BIOMASSE,"Organisches Material Energie"
BIOSPHÄRE,"Bereich mit lebendem Leben"
BIOTA,"Organismen einer Region"
BIOZID,"Pestizid gegen Schaedlinge"
BIOTOP,"Lebensraum spezieller Arten"
BLATTLAUS,"Insekt schaedigt Pflanze"
BLAUMEISE,"Vogelart in Europa"
BLUME,"Pflanze zur Bestaeubelung"
BODENBEARBEITUNG,"Pflug Tätigkeit in Ackerbau"
BODENBELASTUNG,"Kontamination Erdreich"
BODENSCHUTZ,"Massnahmen gegen Degradation"
BODENVERSAEUERUNG,"Chemische Veraenderung Erde"
BODENOEKOLOGIE,"Wissenschaft Bodenleben"
BOGENSCHUETZE,"Sportler mit Pfeil Bogen"
BOHRER,"Geraet zum Eindringen"
BOHRLOCH,"Oeffnung in Erdreich"
BRACHE,"Ruheflaeche fuer Boden"
BRACKWASSER,"Gemisch Suess Salzwasser"
BRAENDUNG,"Wellen an Strand"
BRENNEREIEN,"Produktionsstaette Alkohol"
BRENNSTOFF,"Material zum Verbrennen"
BRIEF,"Papierbefoerderung Kommunikation"
BRUENDL,"Wasser Brunnen Quelle"
BRUETE,"Junge Vögel Saison"
BRUETKASTEN,"Geraet fuer Vogeleier"
BRUETTEN,"Waermeprozess Eierausbruten"
BRUETTER,"Vogel Junge Aufzucht"
BRUESSEL,"Hauptstadt Belgien Nachhaltig"
BUECHER,"Wissensspeicher Information"
BUELOWPLATZ,"Ort in Tiergarten Berlin"
BUENDE,"Zusammenschluesse Organisationen"
BUENDIGUNG,"Vertragbeendigung Beziehung"
BUENDNIS,"Allianz Partnerschaft"
BUENDNISSE,"Mehrere Allianzen"
BUENDNISSEGRUENDUNG,"Zusammenschluss Maehte"
BUENDNER,"Bewohner eines Kantons"
BUENDNEREI,"Betrieb Produktion"
BUND,"Verband Zusammenschluss"
BUNDESAMT,"Behoerde Verwaltung"
BUNDESBANK,"Zentralbank Finanzwesen"
BUNDESEBENE,"Hoechste Verwaltungsebene"
BUNDESGEBIET,"Territorium Staatenwesen"
BUNDESGESETZ,"Rechtliche Regelung Staat"
BUNDESHAUPTSTADT,"Sitz Zentralregierung"
BUNDESHEERE,"Militaer Armeestreitkraefte"
BUNDESLAND,"Teilgebiet Bundesstaat"
BUNDESRAT,"Oberstes Kollegium Exekutive"
BUNDESRECHT,"Oberstes Rechtssystem"
BUNDESREPUBLIK,"Staatsform Gliederung"
BUNDESSCHULE,"Lernstaette Bund"
BUNDESSTAAT,"Politische Gliederung"
BUNDESSTRASSE,"Ueberregionale Autostrasse"
BUNDESSTRICH,"Sicherheitsmerkmal Flagge"
BUNDESTAG,"Parlament Abgeordnete"
BUNDESVERFASSUNG,"Oberste Rechtliche Grund"
BUNDETWESEN,"Systeem Organisations"
BUNDES,"Zusammenschluss bezogen"
BUNDESZENTRALE,"Haupt Behordensitz"
BUNDESZUSCHUSS,"Finanzielle Foerderung"
BUNDT,"Zusammenhaeng Link"
BUNDTERMIN,"Verabredung Treffen"
BUNDUNG,"Verbindung Einheit"
AEGYPTEN,"Nil fließt durch dieses Land"
ALASKA,"Größter US-Bundesstaat"
ANDEN,"Gebirgskette in Südamerika"
ASIEN,"Größster Kontinent der Welt"
BAEREN,"Tiere in den Bergen"
BACH,"Kleine fließende Gewässer"
BAHAMAS,"Inselgruppe in der Karibik"
BASIN,"Flaches Beckenland"
BAYERN,"Bundesland mit Alpen"
BEDARF,"Was man braucht zum Reisen"
BELGIA,"Land mit Amsterdam Grenze"
BERGE,"Hohe Landmassen"
BERLIN,"Hauptstadt an der Spree"
BETT,"Flussrinne"
BIRMINGHAM,"Industriestadt in England"
BLATT,"Kartenmaterial"
BLAETTCHEN,"Kleine Kartenseite"
BODEN,"Erdrinde in Gebieten"
BOEHMEN,"Region ohne Meerzugang"
BOERSE,"Handelsplatz Hamburg"
BOGOTAE,"Hauptstadt der Anden"
BOMBAY,"Indische Hafenstadt"
BONN,"Frühere deutsche Hauptstadt"
BORDEAUX,"Weinregion in Frankreich"
BOSTON,"Hafenstadt in Neuengland"
BOTSWANA,"Südafrika ohne Meerezugang"
BRAHMAPUTRA,"Großfluss in Asien"
BRASILIA,"Hauptstadt Brasiliens"
BRASIL,"Größtes südamerikanisches Land"
BRESLAU,"Stadt an der Oder"
BRETT,"Kartenmaterial zum Spielen"
BRETAGNE,"Region mit Breton-Sprache"
BREITE,"Geografische Linienmessung"
BRISTOL,"Hafenstadt an der Severn"
BRONX,"Bezirk in New York"
BUDAPEST,"Hauptstadt an der Donau"
BUENDEL,"Mehrere Linien zusammen"
BULGARIEN,"Balkanland am Schwarzenmeer"
BURGUND,"Weinregion Frankreichs"
BURMA,"Myanmar früherer Name"
BUSCHI,"Australische Wildnis"
BUTEN,"Außenbereich der Stadt"
CALABRIEN,"Süditalienische Provinz"
CAMBODIA,"Land mit Angkor Wat"
CAMERUN,"Zentralafrika mit Bergkegel"
CANADA,"Land nördlich der USA"
CANAREN,"Inseln vor Afrika"
CARACAS,"Hauptstadt Venezuelas"
CASABLANCA,"Hafenstadt in Marokko"
CASPIAN,"Größtes Landbinnenmeer"
CAUCASUS,"Gebirgszug zwischen Europa Asien"
CEBU,"Philippinische Insel"
CELLER,"Französische Stadt an Loire"
CELSIUS,"Temperaturskala erfunden"
CEYLON,"Sri Lanka alter Name"
CHIANG,"Nordthailändische Provinz"
CHICAGO,"Hafenstadt am Michigansee"
CHILE,"Langes südamerikanisches Land"
CHIMU,"Peruanisches Volk"
CHINA,"Land der Mauer"
CHIOS,"Griechische Insel"
CHROM,"Farbeffekt in Farben"
CIRCA,"Ungefähre Angabe"
CIDADE,"Portugiesisches Wort Stadtzentrum"
CINCO,"Spanische Zahlenkarte"
CIRCIUM,"Historische britische Provinz"
CLEVELAND,"Industriestadt Ohios"
CLIMATE,"Wettermuster eines Ortes"
COAST,"Küstenlinien"
COCKNEY,"Londoner Dialekt"
CODE,"Kartennummernvergabe"
COERDE,"Danziger Vorstadt"
COLOGNE,"Stadt am Rhein"
COLOMBIA,"Land mit Kaffeebauern"
COLOMBO,"Hauptstadt Sri Lankas"
COLONIA,"Uruguayische Gründerstädte"
COMPACT,"Verdichtete Kartenform"
COMPASS,"Richtungsweiser"
CONGO,"Zentralafrikanischer Fluß"
CONNECTICUT,"Nordamerikanischer Bundesstaat"
CONNEXION,"Verbindung zwischen Orten"
CONQUISTA,"Spanische Eroberung"
CONSTELLATION,"Sterngruppenbezeichnung"
CONTINENT,"Große Landmasse"
CONTOUR,"Höhenlinien auf Karten"
CORDOBA,"Andalusische Großstadt"
CORINTH,"Griechische Antikstadt"
CORK,"Irische Hafenstadt"
CORNWALL,"Südwestenglands Spitzland"
CORONDA,"Argentinischer Fluß"
CORRENTES,"Südbrasilianischer Bezirk"
CORSICA,"Französische Insel"
AUFSTEHEN,"Morgens aus dem Schlaf kommen"
WASCHEN,"Mit Wasser und Seife reinigen"
ZAEHNE,"Putzutensil im Bad"
DUSCHE,"Mit Wasser erfrischen"
FRUEHSTUECK,"Erste Mahlzeit des Tages"
KAFFEE,"Heisses Morgengetraenk"
TOAST,"Gebratenes Brot zum Fruehstueck"
SPIEGEL,"Sich selbst anschauen"
GESICHT,"Mit Wasser erfrischen"
ZAHNPASTA,"Fuer die Zahnreinigung"
HANDTUCH,"Nach dem Waschen trocknen"
ANZIEHEN,"Kleider tragen"
SOCKEN,"Fuer die Fuesse"
SCHMUCK,"Accessoires traegen"
RING,"Finger verzieren"
HALSKETTE,"Um den Hals"
GELDBEUTEL,"Geld aufbewahren"
SCHLUESSEL,"Tuer oeffnen"
ARBEITEN,"Berufliche Aktivitaet"
BUERO,"Arbeitsstelle"
COMPUTER,"Elektronisches Geraet"
TELEFON,"Mit anderen sprechen"
SCHREIBTISCH,"Arbeitsflaeche"
STUHL,"Sitzen"
LAMPE,"Licht schaffen"
PAPIER,"Schreiben"
STIFT,"Zum Schreiben"
MITTAG,"Tagesmahlzeit"
SANDWICH,"Brot mit Belag"
GETRANK,"Fluessig erfrischend"
TEE,"Warmes Aufgussgetraenk"
ARBEIT,"Taetige Beschaeftigung"
SPAZIERGANG,"Zu Fuss gehen"
GRAS,"Gruener Bewuchs"
BANK,"Zum Sitzen draussen"
ABEND,"Tageszeit nach Arbeit"
TOPF,"Kochgeraet"
PFANNE,"Zum Brutzeln"
BESTECK,"Ess-Utensilien"
SCHUESSEL,"Fuer Gemuese"
GLAS,"Trinken daraus"
TISCH,"Zum Essen"
SERVIETTE,"Beim Essen nutzen"
ABENDESSEN,"Letzte Hauptmahlzeit"
GEMUESE,"Gruen und gesund"
NUDELN,"Italienische Kohlenhydrate"
VERGNUEGEN,"Nach dem Essen"
FERNSEHEN,"Bildschirm gucken"
LESEN,"Mit Augen geniessen"
SPIELEN,"Mit Spass vergnuegen"
SPIEL,"Freizeitaktivitaet"
FREUNDE,"Mit diesen Spass haben"
CHATTEN,"Online unterhalten"
SOZIAL,"Mit anderen Kontakt"
SCHLAF,"Nacht erholend"
PYJAMA,"Nacht anziehen"
SCHLAFZIMMER,"Zum Schlafen"
KOPFKISSEN,"Darauf den Kopf"
DECKE,"Zum Zudecken"
MATRATZE,"Unter dem Koerper"
DUNKEL,"Nachts im Zimmer"
GARDINE,"Licht abhalten"
TRAEUM,"Fantasie nachts"
STRASSE,"Fahrzeuge fahren hier"
HAUS,"Wohnung mit Dach"
BRUECKE,"Übergang über Wasser"
PLATZ,"Offene Fläche in der Stadt"
TUER,"Eingang zum Haus"
DACH,"Oberteil des Hauses"
WAND,"Seitenteil eines Zimmers"
KELLER,"Raum unter dem Haus"
LEITER,"Hilfsmittel zum Hochklettern"
HAMMER,"Werkzeug zum Nageln"
NAGEL,"Kleines Metall zum Befestigen"
SCHRAUBE,"Gedrehtes Befestigungsteil"
ZANGE,"Greifwerkzeug mit zwei Armen"
BESENFLUSS,"Schnelle fließende Wasserbahn"
STROM,"Fließende Wasserkraft"
DAMM,"Schutz vor Wasser"
ZAUN,"Grenze aus Holz oder Metall"
MAUER,"Grenze aus Stein"
LEUCHTE,"Ding das Licht gibt"
KERZE,"Brennendes Licht aus Wachs"
FACKEL,"Feuer zum Tragen"
LICHT,"Gegenteil von Dunkelheit"
SCHATTEN,"Dunkler Bereich ohne Licht"
BAUPLATZ,"Ort für neues Haus"
GERUESTBAU,"Stahlkonstruktion beim Bau"
ZIEGEL,"Material für Dachdeckung"
GRANIT,"Hartes Steinmaterial"
BETON,"Gemischtes Baumaterial"
KLINKER,"Hartgebrannter Baustein"
LEIM,"Klebstoff für Verbindung"
KITT,"Dichtendes Fugenprodukt"
FARBE,"Färbendes Anstrichmittel"
ANSTRICH,"Schutzschicht auf Holz"
TAPETE,"Wandbekleidung aus Papier"
TEPPICH,"Weicher Bodenbelag"
FLIESE,"Keramischer Bodenbelag"
PARKETT,"Hochwertiger Holzboden"
ASPHALT,"Schwarze Straßendecke"
KIES,"Kleine Steinchen für Wege"
BORDSTEIN,"Steinrand der Straße"
GULLY,"Abflussstelle in Straße"
VERKEHRSZEICHEN,"Regelwerk mit Symbol"
AMPEL,"Rot gelb grün Kontrolle"
SCHRANKE,"Bewegliche Straßensperre"
LEITPLANKE,"Schutz vor Abfahrt"
PARKPLATZ,"Ort zum Abstellen"
GARAGE,"Unterstand für Auto"
CARPORT,"Offene Autoabstellung"
GLEIS,"Stahlschiene für Zug"
SCHWELLE,"Querstütze unter Schiene"
WEICHE,"Verzweigungsteil von Schiene"
UNTERGRUND,"Eisenbahn unter Stadt"
UEBERBAU,"Struktur über der Straße"
HOCHHAUS,"Sehr hohes Wohngebaeude"
WOLKENKRATZER,"Riesiges hohes Gebaeude"
TURM,"Hoher schmaler Bau"
KAPELLE,"Kleine Kirche"
RATHAUS,"Verwaltung der Stadt"
SCHULE,"Lernort für Kinder"
UNIVERSITÄT,"Lernort für Erwachsene"
BIBLIOTHEK,"Bücher Sammelstelle"
KINO,"Filmvorführungsort"
LAEDEN,"Kaufort für Waren"
BAR,"Alkoholische Getränke Ausschank"
SCHENKE,"Alte Trinkstätte"
TAVERNE,"Griechische Trinkstätte"
KASERNE,"Militärisches Wohngebaeude"
GEFAENGNIS,"Ort für Straftäter"
KRANKENHAUS,"Heilungsort für Kranke"
FRIEDHOF,"Grabstätte der Toten"
STADION,"Sportveranstaltungsort"
TURNHALLE,"Indoorsportort"
SCHWIMMBAD,"Wasserport Ort"
SPIELPLATZ,"Kinderfreizeit Ort"
GARTEN,"Bepflanzte Freifläche"
BLUMENBEET,"Geordnete Blanzung"
LUFT,"Unsichtbar, aber notwendig"
INSEKT,"Klein und sechsbeinig"
PFLANZE,"Gruenes Lebewesen"
GRUEN,"Farbe der Natur"
ERDE,"Planet zum Leben"
NATUR,"Alles Natuerliche"
KLIMA,"Wetterverhaeltnisse"
KOEHLE,"Schwarzes Brennmaterial"
WIND,"Bewegte Luft"
REGEN,"Nasse Niederschlaege"
SAND,"Feines Koernermaterial"
TON,"Erdart zum Formen"
QUELLE,"Wasser entspringt"
RAUCH,"Entsteht beim Verbrennen"
ASCHE,"Ueberreste vom Feuer"
MUELL,"Zu entsorgen"
GIFT,"Giftige Substanz"
OFEN,"Waermequelle"
HEIZUNG,"Waermt das Haus"
DUNG,"Organischer Duenger"
KOMPOST,"Verwesende Abfaelle"
DUENGER,"Pflanzenwachstum foerdern"
ERNTE,"Gaertnerei Ertrag"
SAMEN,"Keimling Anlage"
KERN,"Innerer harter Teil"
SCHAELE,"Aeussere Huelle"
WURZEL,"Unter der Erde"
STAMM,"Baumstamm"
RINDE,"Baumumantelung"
KNOSPE,"Zukuenftige Blume"
FRUCHT,"Reifer Fruchtstand"
MANDEL,"Haselnuss Verwandte"
NUSS,"Hartschalige Frucht"
KASTANIE,"Braune Frucht"
EICHEL,"Eichensfrucht"
ZAPFEN,"Nadelbaum Frucht"
PILZ,"Kein Lebewesen"
MOOSE,"Kleine Pflanzen"
FARN,"Wald Unterwuchs"
BRENNNESSEL,"Stechende Pflanze"
KLETTERPFLANZE,"Klettert empor"
EFEU,"Haften an Waenden"
RANKENPFLANZE,"Mit Ranken"
HOPFEN,"Bier Material"
FLACHS,"Leinen Rohstoff"
HANF,"Faser Pflanze"
ZUCKERROHR,"Suessstoff Pflanze"
MAIS,"Getreide Pflanze"
HAFER,"Getreide Futter"
GERSTE,"Malz Getreide"
WEIZEN,"Brot Getreide"
ROGGEN,"Dunkles Getreide"
LINSE,"Kleine Huelsenfrucht"
BOHNE,"Huelsenfrucht"
ERBSE,"Gruene Kugel"
HUELSEN,"Gemuese Schote"
KOHL,"Kopfgemuese"
BROKKOLI,"Gruenes Kopfgemuese"
BLUEMCHEN,"Blumenkohl Teil"
RUEBE,"Rote Wurzel"
SELLERIE,"Staengel Gemuese"
MANGOLD,"Spinat aehnlich"
DISTEL,"Stachelige Wildpflanze"
WOCHE,"Sieben Tage zusammen"
MONAT,"Januar oder Februar"
JAHR,"365 Tage oder 366"
UHR,"Zeigt Stunden und Minuten"
ZEIT,"Was die Uhr misst"
MINUTE,"60 Sekunden"
STUNDE,"60 Minuten"
SEKUNDE,"Kleinste Zeiteinheit"
MORGEN,"Zeit nach dem Aufwachen"
FRUEHER,"Vorher, nicht spaeter"
SPAETER,"Nach einer bestimmten Zeit"
HEUTE,"Dieser Tag"
GESTERN,"Der Tag davor"
KALENDER,"Zeigt Tage und Daten"
WINTER,"Kalte Jahreszeit"
FRUEHLING,"Warme Zeit nach Winter"
SOMMER,"Heisseste Jahreszeit"
HERBST,"Blaetter fallen"
FEIERTAG,"Arbeitsfreier besonderen Tag"
FERIEN,"Urlaub von der Schule"
EWIGKEIT,"Unendlich lange Zeit"
VERGANGENHEIT,"Das war schon vorbei"
GEGENWART,"Jetzt, hier"
ZUKUNFT,"Das kommt noch"
MOMENT,"Kurzer Augenblick"
AUGENBLICK,"Sehr kurze Zeit"
TAKT,"Rhythmisches Zeitintervall"
RHYTHMUS,"Regelmaesissige Wiederholung"
ZYKLUS,"Kreislaeufe wiederholen sich"
PERIODE,"Regelmaessiges Zeitintervall"
EPOCHE,"Lange historische Zeitspanne"
AEON,"Immense Zeitdauer"
JAHRZEHNT,"Zehn Jahre"
JAHRHUNDERT,"Hundert Jahre"
ZEITPUNKT,"Bestimmter Moment"
TERMIN,"Festgesetzter Zeitpunkt"
FRIST,"Zeitliche Grenze"
DEADLINE,"Letzte moegliche Zeit"
PHASEN,"Abschnitte eines Prozesses"
STADIEN,"Entwicklungsstufen nacheinander"
SEKUNDEN,"Ticktack der Uhr"
TAGE,"Plural von Tag"
WOCHEN,"Plural von Woche"
MONATE,"Plural von Monat"
JAHRE,"Plural von Jahr"
JAHRESZEITEN,"Vier Teile des Jahres"
CHRONOLOGIE,"Zeitliche Reihenfolge"
ALMANACH,"Buch mit Daten"
CLOCK,"Englisch fuer Uhr"
DURATION,"Wie lange etwas dauert"
INTERVALL,"Abstand zwischen Zeiten"
SEQUENZ,"Reihenfolge der Vorgaenge"
ZEITRAUM,"Span zwischen zwei Momenten"
SPANNE,"Messbarer Zeitbereich"
RIST,"Schnelles Zeitintervall"
JETZT,"Im gegenwartigen Moment"
DAMALS,"In alter Zeit"
EINMAL,"Eine Gelegenheit"
ZWEIMAL,"Zwei Gelegenheiten"
NIEMALS,"Kein einziges Mal"
IMMER,"Zu allen Zeiten"
OEFTERS,"Mehrfach wiederholt"
HAENDIGKEIT,"Wie oft geschieht etwas"
REGELMASSIG,"Im gleichen Abstand"
UNREGELMASSIG,"Ohne festes Muster"
SOFORT,"Ohne Verzoegerung"
RASCH,"Sehr schnell"
LANGSAM,"Wenig schnell"
FRUEH,"Am Anfang des Tages"
SPAET,"Gegen Ende des Tages"
MITTERNACHT,"Mitte der Nacht"
DAUER,"Wie lange andauert"
ERBLICKUNG,"Sichtbarer Anfang"
BEGINN,"Wo es startet"
ENDE,"Wo es aufhoert"
ANBRUCH,"Anbeginn von etwas"
TAGESANBRUCH,"Morgendaemmerung"
SONNENAUFGANG,"Wenn Sonne kommt"
SONNENUNTERGANG,"Wenn Sonne geht"
ABENDDAEMMERUNG,"Zwischen Tag und Nacht"
MORGENGRAUEN,"Helles Werden am Morgen"
TAGESLICHT,"Helligkeit durch Sonne"
DUNKELHEIT,"Abwesenheit von Licht"
SCHICHTARBEIT,"Arbeit in Blöcken"
SCHICHT,"Zeitlicher Arbeitseinteilung"
WECHSEL,"Von einer zur anderen Zeit"
UMSCHWUNG,"Plötzliche Veraenderung"
TURNUS,"Planung nach Reihe"
MALER,"Künstler mit Pinsel"
BÜHNE,"Schauplatz Performance"
ZEICHNUNG,"Bleistift Kunstwerk"
GEMÄLDE,"Leinwand Kunstwerk"
TÄNZER,"Performer Bewegungskunst"
AUFTRITT,"Erscheinung Präsentation"
MELODIE,"Tonfolge Weise"
KUNSTWERK,"Meisterwerk Schöpfung"
SÄNGER,"Stimmkünstler Performer"
GEIGE,"Streichinstrument Bogen"
MALEREI,"Farbkunst Handwerk"
KUNSTHALLE,"Ausstellungshaus Galerie"
BILDHAUER,"Steinbearbeiter Künstler"
STATUE,"Kunstfigur Darstellung"
KUNSTGEWERBE,"Handwerk Handwerkkunst"
PORTRÄT,"Gesichtsbild Darstellung"
LANDSCHAFT,"Naturmotiv Szenerie"
STILLLEBEN,"Dingbild Motivgruppe"
ABSTRAKT,"Formauflösung Ungegenständlich"
SURREALISMUS,"Traumwelt Kunstrichtung"
IMPRESSIONISMUS,"Lichtmalerei Kunstbewegung"
KLASSIK,"Antikes Vorbild Kunstperiode"
ROMANTIK,"Gefühlsbetont Kunstepoche"
BAROCK,"Prachtkunst Kunststil"
GOTIK,"Spitzkunst Mittelalter"
RENAISSANCE,"Wiedergeburt Kunstperiode"
MODERN,"Zeitgenössisch Gegenwart"
AVANTGARDE,"Vorhut Innovation"
DADAISMUS,"Unsinnkunst Kunstbewegung"
EXPRESSIONISMUS,"Gefühlsentladung Kunstrichtung"
KUBISMUS,"Formzerlegung Kunstrichtung"
FUTURISMUS,"Maschinenkunst Bewegungskunst"
MINIMALISMUS,"Reduktion Einfachheit"
